split,query_index,ids
evaluation,8,20202;1657;1757;1950;14264;777;7527;18338;16358;8883;15560;760;12955;12308;2997;3227;23118;23154;8837;731;21656;117;29;11422;21174;2463;18594;1677;183;7084;4603;255;21854;22446;13373;22739;241;705;11101;16592;902;16298;4437;10149;18215;12702;131;1618;243;12618;11146;7145;2505;21;6831;3661;22259;6983;3315;6785;4027;4131;4407;5555
evaluation,9,16358;13373;2897;17494;9161;11670;405;14264;20182;13526;7527;15489;16595;16298;21436;11190;4437;21108;117;6359;1877;7913;10982;9861;8408;23306;18594;247;23940;1677;183;18297;19164;18489;283;3725;9758;17296;18338;11490;14577;7511;21;17725;12618;4954;21372;21933;15898;777;11974;445;6830;21656;12955;9734;5555;1077;902;6785;8883;243;517;5046
evaluation,10,7881;9418;241;21174;1677;13763;4954;8710;11670;23366;13962;12277;257;7511;401;9257;9945;4339;4603;6983;1477;18338;21372;17494;24761;19179;18489;5721;18594;11582;17929;7084;2469;6189;13873;23306;14264;11979;10265;11146;19988;21656;201;12869;21265;2897;4149;18125;1225;4541;19277;23369;15898;5989;13373;11422;709;247;24027;23120;333;275;731;23445
evaluation,11,18215;15693;17296;24172;7511;12758;4787;17725;5857;18489;23366;1581;9161;6030;3667;9758;1877;15766;7549;589;2599;24027;18540;8883;1757;4223;11146;1103;11101;4954;16015;20458;4541;201;22259;12618;22560;23120;4497;323;12277;13763;5721;1950;14587;657;18125;3602;24189;10512;4603;9257;6823;23118;7084;6830;3501;19164;7145;11582;243;9462;5166;11979
evaluation,12,6229;11636;23154;4373;7145;6823;6983;20691;11490;7511;3725;13763;24786;12277;22955;9257;405;13962;11190;24761;4149;8793;8883;535;6785;21174;6830;9758;15898;22426;29;19988;16595;20458;20252;17774;9684;18540;14958;21160;865;21854;18125;11979;3227;1757;257;18858;24525;6189;1569;10930;19204;23156;241;499;1033;5989;7527;23265;7855;17929;15438;4437
evaluation,13,16015;9650;709;7913;6030;11969;14958;11101;9683;8710;19204;20142;1077;1581;131;19277;7549;760;731;7881;9161;15560;5687;4680;3953;14264;23154;21854;11146;10549;17774;20691;3667;235;499;12308;8883;16358;11422;255;323;7855;18125;18858;955;8837;18297;3837;1225;20252;20296;6931;24189;11636;22739;16411;13373;247;7511;589;10265;13763;21483;18338
evaluation,14,4603;23366;21436;7145;11101;4787;8710;1369;23156;5989;24424;18489;17929;3837;9684;4950;11969;18125;18389;22531;23445;18540;12758;8883;21933;6229;16337;535;657;16592;865;9418;6785;275;17494;445;4954;183;19277;10982;22560;4131;3725;23369;235;241;11670;1569;3667;9650;13763;2505;18033;20728;10858;24786;21265;12618;9861;19988;19179;243;5046;255
evaluation,15,9650;401;6923;2469;9945;10148;18215;20554;21933;18489;247;4541;4339;7145;11422;15438;12277;17725;731;10858;24525;1569;6931;3837;2266;11146;165;11297;24189;1757;8793;17882;7549;21;12869;7527;186;517;8883;9161;1077;4603;5555;12618;4437;7084;2897;6983;21483;865;22259;955;10265;201;4954;19988;20202;5721;21265;11582;1477;13873;5374;10194
evaluation,16,5374;9861;18125;16298;19988;1103;14958;15489;23369;10982;20728;8710;22739;255;6229;11297;21160;186;955;2266;11422;1625;4603;10512;6923;22531;21174;23156;657;24027;17774;18540;23118;16015;6831;7881;18297;12308;11979;401;6983;20182;11974;21854;9257;20202;12758;10148;165;22052;1950;11190;20252;535;8408;902;4497;5857;1618;15438;10149;17929;18858;9945
evaluation,17,20202;14587;22560;1569;12525;20296;18215;11979;17494;10549;21372;19994;4497;21108;9418;11101;1077;2469;23940;23154;257;18594;157;3661;6359;18297;3227;4027;6189;11297;18389;3091;2505;1625;15898;12277;11670;6030;11582;117;6983;21854;165;12308;9684;5046;7511;7549;22446;17725;21;705;7881;17296;241;535;255;16411;16595;21483;21656;3602;21436;401
evaluation,18,17494;18215;9758;4027;11979;157;1369;18389;20728;21933;22560;377;2463;3661;21;19179;23445;9418;21174;15898;201;9462;1677;11297;5687;21372;467;13873;3837;6831;657;20142;4787;18033;10194;10930;11582;3953;21108;9684;777;17774;22426;19994;20296;131;20202;257;865;17725;5555;17296;8408;6823;10053;6359;4131;23156;8710;11101;3315;16015;2266;19164
evaluation,19,589;517;4131;201;18125;9683;10148;705;20252;24189;15489;865;3725;15438;10053;11146;16595;17725;9418;17774;20458;24027;11974;4149;731;18540;19988;15560;21108;10149;22955;12277;18594;9861;6923;13373;657;2897;5721;22560;21;4437;9257;275;11582;955;377;4680;6229;24525;5046;1757;4407;8408;9650;24761;19294;1677;247;5857;23118;6359;5374;18338
evaluation,20,16411;16595;29;10512;4407;21;247;535;20142;6830;8883;11101;1569;8793;1625;6931;18215;157;6831;9945;22560;22426;5637;5721;10149;183;6785;15489;131;7855;21656;12277;21483;1033;17296;11297;24761;17929;2599;10194;10858;589;7355;20202;15898;9462;3227;1077;21436;19204;18297;657;243;9161;12618;13526;283;8710;11146;4373;17882;11490;4787;18594
evaluation,21,405;23118;14264;10512;18389;18489;11297;9418;7355;23366;323;4603;4407;23156;20296;22259;18858;10148;13763;902;21372;10194;2463;283;17296;1625;17929;5721;19277;29;20252;705;16411;19294;1581;5637;10713;4373;6831;17725;24189;22739;22052;1657;24172;8883;255;8793;709;9684;18033;16595;1569;19988;21160;7084;377;16015;7913;2997;1877;18594;20691;19204
evaluation,22,3501;15560;7511;14848;18858;1877;8408;10982;9683;6189;5687;5046;18540;255;5555;21;9462;13763;9650;18389;18338;15766;1225;11670;186;589;4497;760;9257;24424;20252;20691;11979;16298;117;8883;1581;19204;7527;18594;19164;731;7855;21265;6229;12525;18033;19988;20202;499;865;7355;4149;2266;1757;19179;21483;21174;11582;23154;201;243;23445;3091
evaluation,23,467;12702;6830;8710;5555;18297;5687;29;7084;10982;16411;4603;15766;589;11101;1077;11422;2897;4149;24761;1618;4373;20458;15693;5721;18540;9861;6931;17882;7913;401;5166;7145;11190;19988;21174;23445;9418;9257;1569;777;21108;18338;235;11146;15489;18125;12277;1225;22426;24786;4497;23265;13763;4954;3837;11670;8883;5637;19294;22052;9945;405;13873
evaluation,24,902;401;17882;9734;3837;4131;517;5555;4950;3725;22531;709;4603;21160;12618;14264;5046;18297;13526;10148;17296;9650;4437;11670;8883;20202;257;29;20252;19988;1657;535;18338;9758;23156;6931;157;13763;18389;21372;20691;12702;17494;22426;11422;11146;865;4373;1369;255;9462;8408;10930;235;5166;323;20182;241;6923;5721;19277;7511;12869;17725
evaluation,25,21;11974;24786;7084;1677;21483;3953;5857;24189;18389;16411;18540;21372;8408;1581;21108;1950;11146;2469;275;12758;19988;23306;16358;6983;4541;22739;2266;6831;4603;157;7549;18033;13526;10858;117;20142;9945;19277;19179;16592;12308;589;24027;902;11670;8793;1757;10148;243;21933;3602;235;20458;21174;18297;19294;5046;21854;17929;731;1077;517;9161
evaluation,26,17774;9462;6923;9684;235;10053;12618;7084;589;18489;8793;6229;22955;6983;19277;19294;11670;7145;11422;22426;117;6030;12869;13526;3602;20202;4407;11974;165;15693;1657;131;705;14587;19164;1677;1877;243;21;8883;24525;4027;275;22052;8710;11636;1477;10149;11979;5721;709;17296;377;6189;23118;23369;1225;7511;11490;2897;18297;7855;1077;21372
evaluation,27,21174;19988;18858;4027;24189;12758;3953;1950;5166;777;11969;21933;3315;21372;902;22531;5721;4680;24786;16358;4787;23156;117;12702;1757;6983;13962;4950;17882;18489;10713;11297;186;24525;15766;15560;5687;23366;20458;13873;10148;1369;20182;4373;16411;4131;15438;445;7527;21108;23265;165;377;20296;9650;9758;2266;15898;23154;4339;9945;6931;22052;14848
evaluation,28,23154;12758;3837;9257;6830;11636;10194;1877;29;12702;18215;5989;23265;165;6359;11422;7145;760;22739;4223;4437;5721;445;18594;1369;7881;6931;1103;157;11969;20554;247;4149;20142;15898;9734;5374;15693;9161;467;241;1581;1477;7084;4407;21265;8710;7855;21933;8408;15438;13873;3602;15489;777;24027;1677;4339;4680;10713;6983;2897;16592;333
evaluation,29,3501;11969;3227;14587;21160;5166;15898;6983;4131;20142;5046;9683;1618;12618;4373;12869;17494;16337;955;20691;20296;8883;22259;5687;17725;9161;2997;705;11101;16595;1369;9734;8793;4541;21483;1757;21265;11636;9684;6189;186;21;1677;17929;23154;10858;11146;22446;1625;323;6823;1581;19994;18297;11979;9418;902;10982;22955;1225;7913;29;1033;21854
evaluation,30,657;16358;1950;23118;12618;15560;4787;10982;1477;3837;14848;17929;11979;6030;21483;20458;2266;589;22955;7511;22446;19179;8883;9684;21436;4407;1077;20182;20691;23154;333;16592;323;11974;445;16298;19164;18215;17882;22560;10149;8408;15489;247;2469;7527;6359;955;705;4680;11636;14587;2897;22259;20142;16015;20296;235;13526;12955;1625;2463;23940;19204
evaluation,31,9161;24189;21933;21483;18338;13373;5637;11190;11979;15438;1950;323;12525;5555;7145;7084;11670;9418;9684;18489;20142;1369;23940;21656;6359;3725;1625;19294;24027;29;3315;131;865;20296;589;19179;657;22955;7881;16411;3602;23306;22531;7855;6030;19277;3667;12277;2463;4223;13763;405;4680;201;16592;2505;4339;18389;1569;17725;333;11636;10194;12702
evaluation,32,17774;18297;4027;10549;18338;2463;4541;333;1033;19204;5687;24786;12308;18389;243;1225;777;6983;23265;1618;6229;22446;4339;23156;11297;5989;21436;11190;14958;257;4787;23940;21656;4131;6830;7881;7549;241;9734;377;10512;15693;1877;2469;3661;12277;9257;21174;20182;23306;2505;13873;13373;2266;731;11979;20728;10053;23120;11582;20202;1569;165;705
evaluation,33,517;13373;19179;499;8710;24761;11190;18594;7084;11969;10858;5374;22052;23154;955;14587;6830;18125;23445;21265;7549;15766;9161;7855;9861;6931;16015;247;12308;23118;13526;4954;10549;24424;23369;1618;865;131;467;589;21933;1950;18338;11146;24189;23366;4149;7511;12618;5989;23940;7527;4950;257;4339;18215;6923;283;4680;16337;275;15438;10265;705
evaluation,34,21372;3315;14587;1677;22259;2266;7855;777;21656;20202;6923;13373;20728;21933;7913;29;18215;2463;4131;19994;18389;283;11297;11146;1618;377;19164;12702;19204;5046;16298;709;15766;15898;2599;255;11490;657;9650;2997;2897;4027;22531;24525;535;23265;10858;15693;4373;20691;3953;21108;4787;401;11636;22426;19988;1103;10713;10930;19179;5989;12525;3091
evaluation,35,18858;17929;24189;22531;7355;3667;17725;5687;18389;3953;3661;18338;4339;4407;275;1950;13873;17296;17882;21265;23120;16358;15766;19988;131;6359;11582;10148;201;9945;4541;5166;16298;17494;705;9161;5046;15489;1677;7549;19277;12758;499;15560;186;7855;2469;18594;4437;21656;22739;6189;11974;8837;2505;6983;9734;20296;14848;377;2599;6831;6830;902
evaluation,36,9945;5555;1477;12702;24525;10149;4437;24172;21483;1569;20252;7913;255;2469;3953;15898;865;2599;7355;23265;18125;14577;1077;2505;201;17929;6923;731;10930;18033;8710;18297;1950;7549;1677;15766;5166;9257;243;21;4339;17725;10713;760;23445;1225;589;15693;4149;12618;16358;6785;12869;9734;16015;7527;10982;5687;13526;183;23306;1625;1877;15560
evaluation,37,4373;22052;12955;21436;1569;16411;22259;23265;21372;4541;1757;16595;2505;3837;21933;2266;7549;6359;10930;4339;18033;17494;445;19988;9861;20296;15560;24189;5166;1369;4223;21483;3315;7881;1581;4407;21;12308;10149;5721;3953;1103;14587;14848;18389;731;20142;7855;17774;467;8837;8408;4437;19994;201;14577;11490;21656;3667;6830;257;186;12525;12869
evaluation,38,18338;1569;17296;11422;1369;6359;14577;23265;657;377;1877;5687;22446;10930;3953;17774;186;16298;705;15693;22955;5046;7527;955;21;445;20296;19988;3837;20691;2463;3315;11490;4541;21174;21656;3091;21108;4680;4437;117;1618;777;2505;1950;12758;9758;9684;3667;12525;10858;18215;1757;6983;235;14958;5374;20202;19294;18540;20142;22531;10512;19277
evaluation,39,283;377;9758;18125;18489;13526;4131;731;902;22259;3091;4950;21933;6831;18594;4149;535;19988;6030;13373;21436;117;9462;2505;11974;467;1657;5046;1477;257;19994;20554;21372;1369;20202;6189;1677;2599;16595;22052;7355;8793;2997;23940;201;20691;18540;23156;12525;13873;22531;2897;7145;1950;16337;10265;760;5857;17929;8710;22560;17882;17296;18033
evaluation,40,1477;183;23940;22560;23118;10149;16337;11636;4149;20458;7084;6189;8837;9683;4950;1369;20728;12869;9650;9161;20691;18594;21854;15560;117;18540;21656;705;11146;5721;1581;865;21108;13962;1625;4437;22739;10265;8793;11490;7511;21160;235;16298;11422;18338;517;16358;19204;19179;5687;2599;17882;1950;9684;23120;24424;7855;18215;7355;11670;10512;20142;5555
evaluation,41,5046;23366;10053;6831;4603;4131;24786;257;11969;7913;7145;8408;131;865;323;18858;23154;9257;1077;23306;4027;12758;7511;731;16411;1103;22560;10194;13373;535;21265;4954;3602;22531;24189;2266;23265;10713;11974;21108;255;4373;18489;4541;24172;9418;6983;23120;17725;10858;9650;10148;1033;11297;15438;7527;17494;902;21;13763;19988;6229;2505;15766
evaluation,42,401;2599;445;4950;21160;16595;23118;7084;5989;3953;3837;7355;23366;1103;1877;22259;23120;21265;22052;12277;117;283;405;19277;21656;241;11979;18297;21372;11146;4541;17774;13526;21483;2463;10265;24189;6229;11974;11101;17929;589;15489;4787;6785;10148;1581;6830;243;20252;9418;7549;535;20554;21933;165;18594;1625;4497;7913;275;11422;5374;22531
evaluation,43,3315;20691;7881;183;2599;1618;1877;17725;5989;657;13526;12525;23156;23366;7355;4131;4373;4437;19179;17929;405;21656;18489;6830;401;8883;18297;1950;131;8837;6923;535;11974;10265;13873;24761;9945;20296;117;11979;19294;21265;14848;23265;24027;7511;12955;13373;17494;1581;1225;4954;4223;10930;2897;10858;6823;11190;3661;23154;8408;8793;9161;589
evaluation,44,14958;1757;12308;2266;731;10858;4541;21483;12758;17725;8408;24172;6823;9683;22052;12525;19294;22531;15560;11422;10930;14577;16595;5374;17882;865;9462;2463;657;9861;18489;186;709;18540;1950;255;10194;20691;3837;21108;23940;16411;7881;3315;11670;7855;15438;1677;11974;405;7913;3667;257;12618;23265;9418;517;10265;16592;10512;21;23366;22560;20252
evaluation,45,5046;6830;20182;117;21372;8837;1477;14587;22955;4437;21160;6923;6823;12758;9861;11297;705;10265;8793;20202;4339;589;731;4680;19164;1877;20458;5687;760;6983;777;8710;255;9734;16298;6931;12525;10512;16595;4541;16337;3501;22052;19179;22259;1657;10713;21436;9684;14577;21483;18540;24525;21656;10194;18389;3661;13873;955;11979;2897;11190;10982;11490
evaluation,46,10148;19988;3315;19294;4950;22560;186;760;1625;10713;23154;18033;4680;14848;241;24189;23306;4149;12758;955;17929;333;183;20728;6785;6359;20202;3667;11974;16592;19994;5166;10549;2997;21372;8793;4131;4407;16411;7527;10512;377;9161;5857;7355;21933;15438;517;157;4497;2897;405;445;19204;7913;257;535;22531;13373;11969;23445;20691;1225;10194
evaluation,47,955;9683;117;18215;9418;17296;1625;7527;201;24424;5637;18594;517;12525;1369;23118;6830;7881;13873;19179;3725;731;9758;20202;12702;8837;21160;275;22052;12618;6189;4027;131;22446;16595;13763;6983;4603;9734;19204;21174;16298;1877;333;1677;19994;23306;4497;9684;7084;3227;4950;5046;21108;401;22560;21656;19988;1477;12277;10982;22531;11190;3091
evaluation,48,10265;1757;1877;3661;517;1625;20252;6030;2469;19204;20458;21656;14264;4497;1950;21854;22955;12618;23118;165;5374;29;20202;18389;5166;12308;6931;11582;23265;16411;17774;6189;7527;21483;23366;8883;20296;18125;24189;5555;17725;23154;9257;405;4407;13763;1581;22259;11422;20728;10549;7913;2463;24761;18594;15560;955;18858;241;12277;22739;10930;6831;186
evaluation,49,22259;1369;3227;16358;6785;20202;8710;9684;18338;9861;21854;535;11636;4497;17494;20296;21174;21436;8793;4437;14264;14587;8408;21933;6983;12277;3501;23156;20252;12869;241;13873;3667;243;902;10194;19179;18594;22531;18297;186;11190;15560;3315;7355;401;17296;21265;2505;1225;20458;5857;19294;10858;9758;2266;16411;22955;13763;23154;7527;5555;19164;1569
evaluation,50,14264;11297;5046;22560;17725;11979;10512;21483;275;9161;23156;11974;6931;5637;235;8710;4373;2266;1581;3315;12525;499;18215;117;18033;3953;1077;6923;9418;255;14848;23306;1569;14577;12618;12758;4603;131;3091;865;10549;4131;23940;20202;22446;243;21854;12702;21265;1757;5374;23265;10194;3837;13962;955;6359;6030;1677;7855;186;7549;8408;1225
evaluation,51,10194;9684;2505;24027;705;535;3725;955;405;3315;11974;20202;20182;18540;657;21265;13873;4680;10858;517;19994;5046;17774;16298;2897;6983;9861;3091;13526;165;117;8793;13763;24424;16592;18033;7145;19179;23156;17725;12525;1618;17494;6831;15898;709;4603;11670;22955;23306;12702;6931;21933;18125;4223;23120;6830;9945;8710;12758;4954;1757;12277;4407
evaluation,52,21933;6831;4223;14848;8710;4339;8837;1625;23445;20142;760;731;3602;21265;19988;11670;3837;2599;8408;8883;10713;15489;4950;19294;20252;333;705;10194;1657;7511;255;1077;16411;15438;12525;12955;22259;4787;5857;23940;20691;7913;157;24786;10148;2469;257;20202;9650;13873;12758;23120;3091;19164;4027;21174;2997;1225;9758;9683;15693;22446;5637;6030
evaluation,53,24027;2266;10982;12869;18540;255;445;23445;5687;17296;11974;23369;5637;1225;6030;865;243;275;12618;186;9650;4541;131;16595;235;10858;22560;323;8837;6831;5046;10512;18389;19994;165;16015;18215;1625;21483;21108;15693;4149;19294;2997;9945;1757;21372;24786;15438;3091;3837;21174;21933;7881;3227;18297;6359;24525;10149;15560;2599;10930;4497;12277
evaluation,54,19988;24525;241;1225;1077;15560;4149;9161;5857;24786;24027;13526;14264;23265;8793;18540;7084;12277;201;24424;15766;21174;4223;323;283;10858;11297;19994;19179;10512;6189;499;15693;19277;6359;131;257;22052;16411;12702;3602;11979;13873;401;20202;12758;3227;3661;20182;6923;18215;1757;13962;865;16298;4787;4950;517;17725;7511;22446;11974;731;12618
evaluation,55,19994;16337;8793;23306;777;19988;6983;12702;9462;18489;9734;11670;18594;3501;18540;11297;21160;3953;4223;15898;10713;15438;5374;333;10930;9683;5857;257;709;14577;24172;16358;18858;23120;16411;18215;16595;5637;17882;12758;7355;12955;4497;6931;157;8408;19294;13763;10148;3602;6785;23265;4149;3315;760;6823;6830;8710;1569;12277;9650;18338;9945;10194
evaluation,56,1950;157;22739;22446;3953;18033;6030;377;3501;10930;18389;19994;186;9945;23118;12277;22052;7549;20728;1581;23369;5166;6830;11582;12308;23156;7355;17725;12869;18540;7511;517;20296;9257;865;11101;12525;1033;4027;24027;1225;10053;24786;10858;24525;24424;2897;23445;14264;499;17494;17774;3227;405;257;18858;2599;4437;657;21372;12758;22259;10148;19164
