claim_id,claim,evidence,component
runpod_external_library_replay,"The retained RunPod 100k x 384 replay measured Qenlo CPU 12.901 ms, Qenlo USearch 5.093 ms, Chroma 3.777 ms, FAISS Flat 10.217 ms, FAISS HNSW 1.494 ms, Milvus Lite 76.229 ms, and LanceDB Flat 242.256 ms P95.","[""benchmarks/runpod/2026-09-02-bb51987/README.md"", ""benchmarks/runpod/2026-09-02-bb51987/artifacts/qenlo-cpu/summary.txt"", ""benchmarks/runpod/2026-09-02-bb51987/artifacts/qenlo-usearch/summary.txt"", ""benchmarks/runpod/2026-09-02-bb51987/artifacts/{chroma,faiss-flat,faiss-hnsw,milvus,lancedb-flat}/summary.json""]",historical
a6000_provider_approximate_one_percent,The earlier provider-compatible TopK A6000 experiment reported Qenlo CUDA prototype P95 0.1834 ms versus FAISS GPU Flat 0.1332 ms and cuVS 1.1156 ms at approximately 1% eligibility; all had supplied-ground-truth recall 1.0 in that cell.,"[""docs/reports/2026-09-02-topk-a6000-assessment.md"", ""benchmark-results/sota-a6000-topk-2026-09-02/cosine_inclusive/summary.json"", ""benchmark-results/sota-a6000-topk-2026-09-02/cosine_inclusive/p95_latency.png""]",historical
CAMP-001,"The reduced campaign contains 182 retained rows: 131 completed, 42 failed_or_unavailable, 7 failed, and 2 invalid_harness.","[""research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv"", ""research/artifacts/runpod-small-2026-09-05/report/performance-matrix.json"", ""research/artifacts/runpod-small-2026-09-05/report/performance-report.md""]",campaign
D768-001,"On a Runpod RTX 4090 Vulkan host, corrected 100000 x 768 rows have FP64-oracle recall 1.0 for every retained engine in both d4 (batch 1, k=1, unfiltered) and d5 (batch 8, k=64, 10% eligible) cells.","[""research/artifacts/runpod-small-2026-09-05/deep768/rtx4090-eu-ro-secure-deep768-admission-fix/artifacts/runs/d4-r100000-d768-b1-k1-f1/*/summary.*"", ""research/artifacts/runpod-small-2026-09-05/deep768/rtx4090-eu-ro-secure-deep768-admission-fix/artifacts/runs/d5-r100000-d768-b8-k64-f01/*/summary.*"", ""research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv""]",campaign
D768-002,"Corrected d4 P95 completed-call latency is Qenlo CPU 9.409 ms, Qenlo WGPU 0.897 ms, FAISS Flat 14.800 ms, NumPy 15.343 ms, Torch CPU 18.695 ms, and Torch CUDA 0.671 ms.","[""research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv"", ""research/artifacts/runpod-small-2026-09-05/report/performance-matrix.json"", ""research/artifacts/runpod-small-2026-09-05/deep768/rtx4090-eu-ro-secure-deep768-admission-fix/artifacts/runs/d4-r100000-d768-b1-k1-f1/""]",campaign
D768-003,"Corrected d5 P95 completed-call latency is Qenlo CPU 28.599 ms, Qenlo WGPU 0.896 ms, FAISS Flat 3.055 ms, NumPy 6.202 ms, Torch CPU 2.936 ms, and Torch CUDA 0.384 ms.","[""research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv"", ""research/artifacts/runpod-small-2026-09-05/deep768/rtx4090-eu-ro-secure-deep768-admission-fix/artifacts/runs/d5-r100000-d768-b8-k64-f01/""]",campaign
RESOURCE-001,"For corrected d5 WGPU, Qenlo-owned accelerator allocation is 314.909 MB, process RSS high-water mark is 1.174577 GB, device scoring is 0.072 ms, selection is 0.613 ms, and backend execution is 0.826 ms; corrected d4 allocation is 311.181 MB and RSS is 1.203675 GB.","[""research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv"", ""research/artifacts/runpod-small-2026-09-05/deep768/rtx4090-eu-ro-secure-deep768-admission-fix/artifacts/runs/d4-r100000-d768-b1-k1-f1/current-gpu/samples.csv"", ""research/artifacts/runpod-small-2026-09-05/deep768/rtx4090-eu-ro-secure-deep768-admission-fix/artifacts/runs/d5-r100000-d768-b8-k64-f01/current-gpu/samples.csv""]",campaign
LIFE-001,"On the 10000 x 384 unfiltered RTX 4090 WGPU lifecycle run, add-one, delete-one, add-batch, and delete-batch first-search P95 values are 0.598, 0.631, 0.740, and 0.819 ms respectively; mutation cells rebuilt zero times, deletion checks passed, reopen took 52.169 ms, and the separate first search after reopen took 101.296 ms with one rebuilt resident state.","[""research/artifacts/runpod-small-2026-09-05/reference/rtx4090-eu-ro-secure-reference-retry/extracted/artifacts/lifecycle-current-gpu/summary.txt"", ""research/artifacts/runpod-small-2026-09-05/reference/rtx4090-eu-ro-secure-reference-retry/extracted/artifacts/lifecycle-current-gpu/lifecycle.csv"", ""crates/qenlo-bench/src/main.rs:451-467""]",campaign
SELECTOR-001,"The lane-minimum selector candidate wins 5 and loses 7 of 12 qualified frozen-baseline pairs; it is rejected as an unconditional replacement, while the durable/local implementation retains the simpler full-rescan selector.","[""research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv"", ""research/artifacts/runpod-small-2026-09-05/report/performance-report.md"", ""research/artifacts/runpod-small-2026-09-05/current-source.tar.gz"", ""research/artifacts/runpod-small-2026-09-05/baseline-source.tar.gz"", ""crates/qenlo/src/gpu_exact.wgsl""]",campaign
CHROMA-001,"Qenlo WGPU is faster than Chroma in seven qualified paired cells, with observed Chroma/Qenlo P95 ratios from 3.700x to 3233.136x; three Chroma rows fail the predeclared recall gate.","[""research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv"", ""research/artifacts/runpod-small-2026-09-05/report/performance-report.md"", ""research/artifacts/runpod-small-2026-09-05/reference/rtx4090-eu-ro-secure-reference-retry/extracted/artifacts/runs/*/chroma/summary.json"", ""research/artifacts/runpod-small-2026-09-05/deep/rtx4090-eu-ro-secure-deep/extracted/artifacts/runs/*/chroma-ef512/summary.json""]",campaign
FAIL-001,"The campaign preserves four pre-fix 100000 x 768 failures, two initial invalid-harness rows, three Chroma recall-gate failures, and 42 unavailable primary-configuration rows.","[""research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv"", ""research/artifacts/runpod-small-2026-09-05/deep768/rtx4090-eu-ro-secure-deep768-invalid-harness/"", ""research/artifacts/runpod-small-2026-09-05/deep768/rtx4090-eu-ro-secure-deep768-retry/"", ""research/artifacts/runpod-small-2026-09-05/deep768/rtx4090-eu-ro-secure-deep768-admission-fix/"", ""research/artifacts/runpod-small-2026-09-05/common/*/outcome.json""]",campaign
OPS-001,"The final captured Runpod account daily spend is 0.9400778694252952 USD, no campaign pods remain, and the campaign retained no volume. The ledger began at 0.9096019977878312 USD; the observed account-spend delta is 0.030475871637464 USD and is not a definitive campaign-only cost because billing attribution and lag are not isolated.","[""research/artifacts/runpod-small-2026-09-05/campaign-summary.json"", ""research/artifacts/runpod-small-2026-09-05/ledger.jsonl"", ""research/artifacts/runpod-small-2026-09-05/billing-pods-final.jsonl""]",campaign
UNQUAL-001,The only completed but unqualified matrix row is USearch on d2-r25000-d384-b64-k10-f1: recall_at_k=0.3453125 and P95=83.313304 ms; it is excluded from qualified latency comparisons.,"[""research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv"", ""research/artifacts/runpod-small-2026-09-05/report/performance-matrix.json"", ""research/artifacts/runpod-small-2026-09-05/deep/rtx4090-eu-ro-secure-deep/extracted/artifacts/runs/d2-r25000-d384-b64-k10-f1/usearch/summary.json""]",campaign
SYS-001,"Canonical ingestion and query normalization produce FP32 vectors using an FP64 norm accumulator; non-finite, zero-norm, and dimension-invalid inputs are rejected.",[],system
SYS-002,"The CPU path is exhaustive over eligible canonical rows, but its scoring pipeline contains an FP32 candidate stage and an FP64 final ranking boundary.",[],system
SYS-003,"Native CPU, native GPU host merge, WGSL selector, and TorchIndex define deterministic distance-then-ID ordering within their implementation precision.",[],system
SYS-004,"EligibilityPlan binds predicate materialization and representation to the canonical generation and supports one-pass, legacy two-pass, and generation/filter-keyed cached preparation.",[],system
SYS-005,"Exact row execution validates eligible row ordering, bounds, liveness, and predicate membership; malformed or stale rows fail closed.",[],system
SYS-006,Required-GPU mode returns initialization/preparation/search errors rather than silently falling back; automatic mode may use CPU and records a fallback reason.,[],system
SYS-007,File-backed commit validates a whole ordered batch before WAL publication and canonical visibility; in-memory mutation has no durability guarantee.,[],system
SYS-008,"Resident exact GPU state can be updated incrementally after add/delete when capacity, layout, chunk, and budget constraints permit; otherwise a later preparation can rebuild it.",[],system
SYS-009,"TorchIndex supports the device type names CPU, CUDA, and MPS, with availability checks, but current repository tests provide CPU conformance and negative CUDA coverage rather than positive CUDA/MPS evidence.",[],system
SYS-010,TorchIndex.from_collection captures a filtered generation and sequential search rejects the view after a canonical mutation.,[],system
SYS-011,"The old appendix can describe an FP64 oracle and deterministic ordering, but its wording that tied cutoffs accept only deterministic members selected by that order overstates cross-engine oracle equivalence.",[],system
SYS-012,The current phrase 'Atomic batches publish only after validation and durable staging' requires a file-backed qualifier.,[],system
SYS-013,A double-checked concurrent TorchIndex snapshot guarantee is not supported by the current source.,[],system
S-row-001,"rtx2000-eu-ro-secure-pilot / p1-r1000-d128-b1-f1 / baseline-cpu: status completed, qualified True, P95 60152.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 1,campaign-row
S-row-002,"rtx2000-eu-ro-secure-pilot / p1-r1000-d128-b1-f1 / baseline-gpu: status completed, qualified True, P95 151475.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 2,campaign-row
S-row-003,"rtx2000-eu-ro-secure-pilot / p1-r1000-d128-b1-f1 / current-gpu: status completed, qualified True, P95 194986.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 3,campaign-row
S-row-004,"a40-ca-mtl-secure / c1-r1000-d128-b1-f1 / baseline-cpu: status completed, qualified True, P95 32647.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 4,campaign-row
S-row-005,"a40-ca-mtl-secure / c1-r1000-d128-b1-f1 / baseline-gpu: status completed, qualified True, P95 140554.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 5,campaign-row
S-row-006,"a40-ca-mtl-secure / c1-r1000-d128-b1-f1 / current-gpu: status completed, qualified True, P95 159459.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 6,campaign-row
S-row-007,"a40-ca-mtl-secure / c2-r1000-d384-b16-f001 / current-gpu: status completed, qualified True, P95 239818.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 7,campaign-row
S-row-008,"a40-ca-mtl-secure / c3-r10000-d128-b16-f1 / current-gpu: status completed, qualified True, P95 427716.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 8,campaign-row
S-row-009,"a40-ca-mtl-secure / c4-r10000-d384-b1-f001 / baseline-cpu: status completed, qualified True, P95 18987.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 9,campaign-row
S-row-010,"a40-ca-mtl-secure / c4-r10000-d384-b1-f001 / baseline-gpu: status completed, qualified True, P95 129394.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 10,campaign-row
S-row-011,"a40-ca-mtl-secure / c4-r10000-d384-b1-f001 / current-gpu: status completed, qualified True, P95 151370.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 11,campaign-row
S-row-012,"a40-ca-mtl-secure / c5-r100000-d128-b1-f001 / baseline-cpu: status completed, qualified True, P95 90237.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 12,campaign-row
S-row-013,"a40-ca-mtl-secure / c5-r100000-d128-b1-f001 / baseline-gpu: status completed, qualified True, P95 165776.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 13,campaign-row
S-row-014,"a40-ca-mtl-secure / c5-r100000-d128-b1-f001 / current-gpu: status completed, qualified True, P95 158960.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 14,campaign-row
S-row-015,"a40-ca-mtl-secure / c6-r100000-d384-b16-f1 / current-gpu: status completed, qualified True, P95 13768480.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 15,campaign-row
S-row-016,"a40-eu-se-secure / c1-r1000-d128-b1-f1 / baseline-cpu: status completed, qualified True, P95 31366.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 16,campaign-row
S-row-017,"a40-eu-se-secure / c1-r1000-d128-b1-f1 / baseline-gpu: status completed, qualified True, P95 230417.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 17,campaign-row
S-row-018,"a40-eu-se-secure / c1-r1000-d128-b1-f1 / current-gpu: status completed, qualified True, P95 177931.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 18,campaign-row
S-row-019,"a40-eu-se-secure / c2-r1000-d384-b16-f001 / current-gpu: status completed, qualified True, P95 357355.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 19,campaign-row
S-row-020,"a40-eu-se-secure / c3-r10000-d128-b16-f1 / current-gpu: status completed, qualified True, P95 432978.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 20,campaign-row
S-row-021,"a40-eu-se-secure / c4-r10000-d384-b1-f001 / baseline-cpu: status completed, qualified True, P95 19008.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 21,campaign-row
S-row-022,"a40-eu-se-secure / c4-r10000-d384-b1-f001 / baseline-gpu: status completed, qualified True, P95 173274.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 22,campaign-row
S-row-023,"a40-eu-se-secure / c4-r10000-d384-b1-f001 / current-gpu: status completed, qualified True, P95 158153.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 23,campaign-row
S-row-024,"a40-eu-se-secure / c5-r100000-d128-b1-f001 / baseline-cpu: status completed, qualified True, P95 69164.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 24,campaign-row
S-row-025,"a40-eu-se-secure / c5-r100000-d128-b1-f001 / baseline-gpu: status completed, qualified True, P95 200688.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 25,campaign-row
S-row-026,"a40-eu-se-secure / c5-r100000-d128-b1-f001 / current-gpu: status completed, qualified True, P95 166598.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 26,campaign-row
S-row-027,"a40-eu-se-secure / c6-r100000-d384-b16-f1 / current-gpu: status completed, qualified True, P95 13746546.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 27,campaign-row
S-row-028,"a6000-eu-se-community / c1-r1000-d128-b1-f1 / current-gpu: status failed_or_unavailable, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 28,campaign-row
S-row-029,"a6000-eu-se-community / c2-r1000-d384-b16-f001 / current-gpu: status failed_or_unavailable, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 29,campaign-row
S-row-030,"a6000-eu-se-community / c3-r10000-d128-b16-f1 / current-gpu: status failed_or_unavailable, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 30,campaign-row
S-row-031,"a6000-eu-se-community / c4-r10000-d384-b1-f001 / current-gpu: status failed_or_unavailable, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 31,campaign-row
S-row-032,"a6000-eu-se-community / c5-r100000-d128-b1-f001 / current-gpu: status failed_or_unavailable, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 32,campaign-row
S-row-033,"a6000-eu-se-community / c6-r100000-d384-b16-f1 / current-gpu: status failed_or_unavailable, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 33,campaign-row
S-row-034,"a6000-us-tx-community / c1-r1000-d128-b1-f1 / current-gpu: status failed_or_unavailable, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 34,campaign-row
S-row-035,"a6000-us-tx-community / c2-r1000-d384-b16-f001 / current-gpu: status failed_or_unavailable, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 35,campaign-row
S-row-036,"a6000-us-tx-community / c3-r10000-d128-b16-f1 / current-gpu: status failed_or_unavailable, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 36,campaign-row
S-row-037,"a6000-us-tx-community / c4-r10000-d384-b1-f001 / current-gpu: status failed_or_unavailable, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 37,campaign-row
S-row-038,"a6000-us-tx-community / c5-r100000-d128-b1-f001 / current-gpu: status failed_or_unavailable, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 38,campaign-row
S-row-039,"a6000-us-tx-community / c6-r100000-d384-b16-f1 / current-gpu: status failed_or_unavailable, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 39,campaign-row
S-row-040,"l4-eu-ro-secure / c1-r1000-d128-b1-f1 / current-gpu: status failed_or_unavailable, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 40,campaign-row
S-row-041,"l4-eu-ro-secure / c2-r1000-d384-b16-f001 / current-gpu: status failed_or_unavailable, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 41,campaign-row
S-row-042,"l4-eu-ro-secure / c3-r10000-d128-b16-f1 / current-gpu: status failed_or_unavailable, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 42,campaign-row
S-row-043,"l4-eu-ro-secure / c4-r10000-d384-b1-f001 / current-gpu: status failed_or_unavailable, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 43,campaign-row
S-row-044,"l4-eu-ro-secure / c5-r100000-d128-b1-f001 / current-gpu: status failed_or_unavailable, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 44,campaign-row
S-row-045,"l4-eu-ro-secure / c6-r100000-d384-b16-f1 / current-gpu: status failed_or_unavailable, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 45,campaign-row
S-row-046,"l4-eur-is-secure / c1-r1000-d128-b1-f1 / current-gpu: status failed_or_unavailable, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 46,campaign-row
S-row-047,"l4-eur-is-secure / c2-r1000-d384-b16-f001 / current-gpu: status failed_or_unavailable, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 47,campaign-row
S-row-048,"l4-eur-is-secure / c3-r10000-d128-b16-f1 / current-gpu: status failed_or_unavailable, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 48,campaign-row
S-row-049,"l4-eur-is-secure / c4-r10000-d384-b1-f001 / current-gpu: status failed_or_unavailable, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 49,campaign-row
S-row-050,"l4-eur-is-secure / c5-r100000-d128-b1-f001 / current-gpu: status failed_or_unavailable, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 50,campaign-row
S-row-051,"l4-eur-is-secure / c6-r100000-d384-b16-f1 / current-gpu: status failed_or_unavailable, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 51,campaign-row
S-row-052,"rtx3090-eu-cz-community / c1-r1000-d128-b1-f1 / current-gpu: status failed_or_unavailable, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 52,campaign-row
S-row-053,"rtx3090-eu-cz-community / c2-r1000-d384-b16-f001 / current-gpu: status failed_or_unavailable, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 53,campaign-row
S-row-054,"rtx3090-eu-cz-community / c3-r10000-d128-b16-f1 / current-gpu: status failed_or_unavailable, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 54,campaign-row
S-row-055,"rtx3090-eu-cz-community / c4-r10000-d384-b1-f001 / current-gpu: status failed_or_unavailable, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 55,campaign-row
S-row-056,"rtx3090-eu-cz-community / c5-r100000-d128-b1-f001 / current-gpu: status failed_or_unavailable, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 56,campaign-row
S-row-057,"rtx3090-eu-cz-community / c6-r100000-d384-b16-f1 / current-gpu: status failed_or_unavailable, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 57,campaign-row
S-row-058,"rtx4090-eur-is-community / c1-r1000-d128-b1-f1 / current-gpu: status failed_or_unavailable, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 58,campaign-row
S-row-059,"rtx4090-eur-is-community / c2-r1000-d384-b16-f001 / current-gpu: status failed_or_unavailable, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 59,campaign-row
S-row-060,"rtx4090-eur-is-community / c3-r10000-d128-b16-f1 / current-gpu: status failed_or_unavailable, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 60,campaign-row
S-row-061,"rtx4090-eur-is-community / c4-r10000-d384-b1-f001 / current-gpu: status failed_or_unavailable, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 61,campaign-row
S-row-062,"rtx4090-eur-is-community / c5-r100000-d128-b1-f001 / current-gpu: status failed_or_unavailable, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 62,campaign-row
S-row-063,"rtx4090-eur-is-community / c6-r100000-d384-b16-f1 / current-gpu: status failed_or_unavailable, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 63,campaign-row
