split,query_index,ids
tuning,10,88319;30222;58970;38193;16091;2605;25467;26317;92989;74340;92722;52993;76542;55068;98508;73985;84650;17001;11929;78496;76805;9295;26082;54796;28672;33950;31393;50958;93916;41833;44803;19423;93968;51181;12294;43954;6011;439;79464;59314;475;53163;69651;80718;44947;41148;77015;51232;1625;75841;5898;37758;34298;57666;38605;76840;61457;8395;89706;14707;82376;62360;6839;6449
tuning,11,22669;10655;41436;86301;3893;50422;29123;29510;83445;45893;61890;48797;7041;11477;16369;37814;7101;72437;5053;15320;3881;46075;64205;18974;4315;78449;67669;58663;26174;13649;66415;49370;20376;80942;29575;57945;39021;7507;53336;23879;27679;4891;70874;70581;45041;13631;24305;82259;47259;68768;94466;57282;21989;56929;62592;66592;13475;93587;83379;72000;88359;7875;66876;91008
tuning,12,95492;78789;63852;4297;17403;92520;73021;7129;78838;78496;8915;9559;97749;54044;3053;44442;71536;51943;51496;32536;2581;20268;14866;97965;69996;95753;61850;91104;80728;33436;195;93493;53734;6273;21016;13667;53451;86443;11170;5789;99985;14861;8928;63393;80658;91862;45878;31432;3281;3154;40422;42709;57414;6851;63907;26251;46774;37;89186;38214;97718;30961;30594;99021
tuning,13,82737;58760;94041;12133;27749;4153;56770;39698;43304;2455;33352;86828;93780;62516;6913;4501;40705;52858;33950;31770;52073;14481;4345;72623;54444;22473;8905;22698;22269;72121;3809;24279;51003;59003;79970;13473;32283;48598;87287;5253;21968;14315;73098;9165;8553;91236;7210;38999;24391;76984;88633;8851;14408;13707;75990;2666;98344;67205;52445;42873;82812;79630;99985;57984
tuning,14,6585;69717;3385;27440;14257;38061;40541;5125;79341;8411;30501;93669;91061;70042;18755;13685;58825;74277;65623;54265;42869;38474;20268;75398;73816;94023;20622;7145;27203;80280;20510;56149;14013;21469;14126;28221;27006;42467;33741;81849;80299;96261;13481;82812;20409;16998;85120;24809;8261;4545;35254;40150;94401;81869;29513;8315;47545;22265;8537;30566;53579;67925;96451;77084
tuning,15,79896;23031;64913;6115;71252;51910;11142;77754;65687;96120;99149;47279;7939;34742;47598;63884;7798;36605;619;44508;73000;37686;36797;94662;2513;70323;96460;38061;63909;99985;24057;24194;39301;28327;8976;18067;85839;85646;99696;32053;80658;43081;90510;17695;34274;21695;97752;72768;99428;16503;63862;49820;55465;94206;73926;55782;40439;30698;44975;54534;30805;63073;97286;1465
evaluation,0,54550;5291;67177;26251;15973;6553;79473;14481;24829;85785;45097;78020;88469;5753;73016;60697;87196;42897;24458;5463;60421;73756;7373;3815;73329;3031;16350;40903;21757;19173;53912;84161;13781;57515;7019;95946;96374;78818;85363;1931;70334;10806;55929;5750;83218;44774;24883;43569;10161;14529;82778;39694;4839;74515;13769;67616;53160;22321;7179;38781;47259;1191;91000;83705
evaluation,1,93061;21833;98577;6999;58678;28010;87126;25301;65235;71532;82425;51458;23265;39893;89009;10213;42723;6503;23764;82075;35533;76765;11213;98291;29023;22061;8878;45097;39229;74636;71589;37801;29954;86787;20471;8949;68563;81233;2721;4473;24643;13809;90982;32125;47436;84851;40122;83580;14253;64459;10367;64226;19639;72606;79685;9397;38864;19150;40554;92310;89761;72729;41867;2571
evaluation,2,80738;95826;31542;12455;83296;9961;17201;10901;67057;9232;989;83980;11879;49713;5543;9925;12510;4499;40177;70260;97233;4701;38270;41053;3417;91409;81145;9290;74910;46789;80550;15472;15665;83300;68106;37129;28175;19269;60697;90104;37565;85446;3042;77865;61890;40294;63226;35746;22923;40859;23624;7077;45650;49012;14467;3371;64324;71430;79819;3755;44851;76213;81445;4603
evaluation,3,85512;1043;78753;15105;9601;94762;81881;31601;73430;14203;23981;1878;39298;11601;21235;92318;9841;4657;35232;82778;62048;19141;68290;65073;65690;88428;30530;93493;80359;52743;70601;16841;6609;32714;55629;65854;2533;6951;49975;96936;67791;78571;83052;62578;5473;67057;86946;37941;46153;52347;96180;24342;10026;81482;8027;15301;10033;25672;22517;17385;76801;14268;71298;94670
evaluation,4,40704;50889;6279;63751;75551;7931;7141;10997;6890;45926;8409;64692;27050;11137;16369;86223;69336;27015;28796;97531;5837;2121;9210;73898;239;32873;40728;53383;28345;82828;58889;6909;24139;3192;69950;10333;4707;14365;78274;9101;74439;55710;61656;92802;48658;78173;91862;51367;92938;61372;29215;93418;91048;89169;13374;45104;98083;78020;47872;63073;2438;27813;74444;9921
evaluation,5,49426;39074;4588;16093;1138;75285;3154;6739;82580;9219;43115;8851;8995;96503;75944;70906;85790;4514;91906;1570;25497;77357;43691;29510;37180;375;31277;23991;79631;30411;84788;40322;54053;46166;49749;87545;26163;16966;23562;8045;20739;6546;3579;44966;42849;41206;69710;57733;57984;32570;73824;15105;95048;27633;6811;22703;87051;9809;65139;16263;85016;35254;26017;65845
evaluation,6,10087;80132;10565;96611;97153;9841;30698;3125;47427;94425;77866;19029;6827;10818;55141;12108;23622;41173;47065;10895;85879;3751;68563;49024;2721;70479;4977;35082;82304;79920;12119;91665;20336;84241;73158;11557;67003;2545;67954;7941;97531;50787;62834;9243;3893;16250;23584;75354;65993;44941;23633;3873;49430;91852;35161;61639;82760;43453;53096;20786;30988;12242;11533;31835
evaluation,7,65899;99439;8118;29120;21801;55009;37370;42917;34088;25235;30334;2078;72894;21770;33419;63377;8985;51321;18675;22399;8573;73753;9075;967;90046;15285;53679;25257;39857;97233;27749;99785;27065;29772;6477;94017;47036;17693;53898;13241;90022;82304;18217;11042;14517;98992;8089;37450;54433;45097;95160;11403;96523;15463;51949;36503;5355;19483;3001;14923;30673;77068;4929;76840
evaluation,8,15301;31835;5435;83986;84029;94466;85470;30594;8989;21841;54074;11031;7179;49945;92423;51626;76074;80305;92873;16805;99098;8573;72749;1663;35382;50481;52173;84413;60065;35533;35802;30593;16095;56149;21621;53409;84436;4536;75026;71196;42611;55208;1463;46454;5017;82277;26211;4781;92747;89977;51352;2989;71904;53694;16263;41402;11077;23171;28345;30481;45813;27603;42869;46555
evaluation,9,86136;53703;84172;31018;6553;50357;14173;4919;48658;26805;9535;5003;42550;32497;58137;69545;28601;9878;41750;31637;7011;5037;3617;69710;96225;95517;50267;98291;11515;3381;69852;96612;82413;78535;30144;53734;22713;31749;51685;1997;449;94440;17526;7855;48256;31341;34549;14429;14529;13131;6942;79373;93968;8598;6557;39057;48790;24198;81257;83784;14134;90238;24579;17496
evaluation,10,46209;1087;18406;14129;48658;16295;19452;10317;85572;18123;97192;25069;93129;72052;25494;63;83183;34770;97832;43609;4061;25487;63203;6361;43360;4787;64058;31587;85324;18815;86805;24161;4295;11314;9661;33490;73753;40231;49946;41202;43149;32570;22310;58689;59877;98318;16297;8395;18330;59737;99065;94548;25713;57993;843;72030;96286;83210;32678;87142;20050;45765;60598;95567
evaluation,11,19150;4083;33205;70211;35816;74494;97298;65198;10755;5031;68406;57440;3927;18509;66682;39413;89536;32025;3683;28270;70112;39525;83417;3217;1351;18013;35763;54741;10087;32473;46531;61968;89724;14607;89036;32918;40810;24643;19085;96283;9339;4545;89911;86295;33542;21133;41241;18349;74246;8935;14795;9227;8453;83268;2117;9723;4501;78042;7033;34298;72906;23213;167;60569
evaluation,12,81901;6773;5647;32261;17669;42042;25505;91098;95921;59302;80377;46531;98193;78737;5963;42849;93916;14869;96612;50458;25821;80773;42851;97543;21295;49393;43326;88822;81692;70551;4977;25113;71814;19049;83512;41851;96188;72533;2201;4005;45898;12433;62306;2119;19551;63478;19483;26962;71323;60754;19264;69555;10681;14152;67;14937;97046;25903;21787;81708;8178;87718;51654;10699
evaluation,13,85054;45762;34298;57545;79630;48163;49729;97739;2161;70541;41725;69977;14353;93587;74242;59930;12862;9249;82662;16369;74368;85068;67258;78324;41747;57945;77803;4625;9639;39037;11513;76805;33044;13229;2275;20925;18443;94556;43827;3027;941;52894;2677;5765;82376;28270;91006;59536;7423;27188;12991;49242;28645;54645;84851;1;28221;38685;77109;23710;9852;51910;10365;60754
evaluation,14,53738;88324;79141;42611;69181;71884;1914;76225;7013;4843;73273;72987;78442;71994;14883;96787;81460;17261;7301;8955;39301;64884;44488;78094;77412;58074;12785;17006;13254;3647;2923;38875;91730;22822;21989;43177;90750;81461;4859;53236;72610;7615;96022;31848;16615;14169;2467;62342;98777;78261;13839;11655;41402;1171;69726;14519;74976;42761;5115;6389;14695;45872;91154;67925
evaluation,15,95931;28010;14513;1328;33485;32570;60274;77872;14594;15301;51249;62578;79425;19258;65288;30673;7349;79922;3291;7347;78448;60140;8811;55602;16673;28321;24976;21770;85610;59690;79774;5489;98513;10655;98541;85329;14735;91205;11331;46090;6933;3683;62517;79632;4024;51540;54917;81793;65377;35081;23729;40563;33558;17499;15329;34352;55769;27123;92538;27566;70250;96109;30491;96261
evaluation,16,39309;14933;4055;48515;2034;74340;11353;6615;47791;45517;71804;26665;5423;52071;27309;90097;19381;93337;55513;16599;43963;86081;19630;45666;77816;37861;46822;12389;71313;6085;2533;60776;43149;10325;32409;75990;89897;58773;663;41179;37518;80897;24271;22399;34392;90989;3843;6133;55472;85874;87921;82769;34214;5222;2877;2531;97489;60659;18829;41248;15358;13049;1625;96366
evaluation,17,96849;27534;26345;31835;87117;1275;85472;5031;1413;34454;80704;12257;63878;79494;13945;85698;16025;5963;22013;89150;95048;36258;7383;15897;72606;90980;46896;58857;13769;40911;8979;87478;70426;1449;6317;6597;91961;7273;80670;20401;85126;75351;10453;61656;70672;27037;9852;51813;51574;53703;87376;88903;16469;96980;17923;20167;8323;2687;63548;8373;3192;19662;15320;27819
evaluation,18,41687;12226;47213;99049;13897;35502;29090;42477;92369;17603;88932;87708;4815;34350;56836;84986;8033;23341;54158;20058;3998;1343;39296;36982;42986;57890;21989;7293;8151;6482;50042;36658;34696;69742;12787;2811;12378;35282;82745;70709;6589;3921;29969;86589;62208;27673;5003;51626;4005;44022;55602;6733;11437;18974;22921;38409;21302;71538;85785;9487;21848;99273;49773;80132
evaluation,19,93669;12257;6585;67003;89637;92989;7987;4744;10847;11067;83449;69977;62746;17989;44851;5097;78906;99049;28181;99308;9413;86798;79922;72259;52882;31461;19009;12434;14629;12389;89344;51526;20493;53119;8933;7496;6597;5357;51949;91335;30198;5405;31529;94677;11109;8718;9712;333;79403;98871;82679;63336;5887;15610;20610;98577;20545;58833;36629;14795;87243;62233;21038;45066
evaluation,20,72899;2217;8437;7121;21501;98066;37110;74515;6807;18794;85058;4889;9970;41497;88422;49752;10416;58880;45846;50480;9101;11755;18117;1093;997;79685;98;32473;48483;58126;15573;15317;8887;10013;3987;503;19063;26743;64485;39685;39645;46645;11287;30853;23854;83714;4385;6361;65137;6331;5301;86647;93841;71336;93606;19011;78129;6935;78886;69186;22251;21906;55360;73341
evaluation,21,65704;28332;7465;99633;64459;44428;15466;92357;56358;6091;4592;93589;70601;83118;4671;54131;84585;79559;29127;25645;18761;77278;35187;78660;16106;98088;1121;80269;87777;41642;49414;59810;53771;22294;37257;37180;67750;11223;68529;97956;9345;42813;35257;13707;1477;73626;56750;46218;19841;48025;33549;45563;27464;74636;50037;40309;29051;20218;34493;5823;33822;3343;88096;98796
evaluation,22,26359;92282;71166;21183;24809;97832;87328;67607;65690;75856;9629;29721;20009;4617;64624;17965;13187;82684;73745;75760;8395;92141;5875;78818;57393;6393;82117;39297;90421;26467;74439;97182;4005;20679;99972;92549;22709;1335;13466;58216;2731;39229;2393;72329;8607;43281;81212;37550;59475;43411;24185;60948;50824;56139;521;10143;62254;16365;42586;50267;18570;89692;24574;4739
evaluation,23,91475;58797;63581;76805;23527;68060;14957;65352;10498;8533;89435;35459;7979;50272;24061;86813;88324;7649;58877;14407;36503;23577;20111;62861;70906;94816;32993;27902;90851;20177;67885;9315;17021;5341;4605;10463;9849;18915;26112;49760;8784;88380;46789;31107;20450;31833;19837;45918;10273;7931;49949;29610;62601;20393;34305;54645;65112;40939;12275;68093;32136;12787;24262;12862
evaluation,24,2611;57373;27707;43115;33323;5559;72178;49634;14707;92168;45158;84851;43595;24592;28911;43869;80229;65591;34393;74030;60440;2431;61193;9079;14906;13797;38586;6203;32113;99573;8669;53886;16887;67035;29292;69620;87545;42937;54681;28150;95726;89743;77084;81900;97872;66760;10775;2217;96717;705;32374;14409;69711;63253;41601;5081;69690;82842;9679;16830;42319;61539;11535;12441
evaluation,25,34950;8113;85572;69186;22973;99301;33607;53226;1731;62715;34713;27819;14043;1917;85068;97315;11650;14169;96312;26698;19774;42164;82622;26665;77540;22520;6901;49734;13747;107;49079;25645;97398;38214;5921;2935;51395;7229;35187;35024;13523;99622;10183;11702;7627;42969;43767;9247;17456;18646;19479;3147;44428;58689;2081;95579;12465;84993;7949;38413;2431;11212;12379;49673
evaluation,26,955;7014;47549;48658;11187;76408;6065;6978;93462;69528;8695;18113;59102;16263;37395;86003;2685;78442;14529;98335;82367;97832;63073;12961;78437;75810;70944;24829;14819;59103;61005;89088;91864;63029;65906;28471;36327;7825;9809;90763;16887;16039;15270;23313;49242;23238;8983;6999;34393;10255;20393;84172;8291;20037;54531;8579;97543;57802;84804;78535;68730;55703;9081;76712
evaluation,27,8784;37518;63581;997;74474;83758;36878;48043;4589;85920;97024;85472;94856;31453;22953;9966;73061;18727;40245;16962;99736;44893;5487;5753;64752;92712;50073;15825;6791;31493;17881;5657;65352;43557;47065;4713;82592;42164;16825;53041;52857;34696;63478;11170;53382;4373;98796;95183;89845;17171;43913;80722;63663;35874;70670;40272;2043;9357;84639;10543;47005;22923;43954;47534
evaluation,28,86798;15671;76984;4923;40554;73563;27902;25505;80875;14587;75676;92282;32604;8197;21102;41179;74093;15957;70398;27930;7827;82021;22061;84963;6745;11509;21787;19468;73245;7383;29315;12389;17470;86488;45242;55710;92722;54481;56883;9999;8749;33390;94816;28746;10957;25830;4831;13059;38439;28086;90376;77110;21387;43437;3027;74129;9026;44820;21153;35523;58877;87921;11353;64544
evaluation,29,8335;39407;6389;4137;14043;6101;72052;66176;32877;7383;17983;96606;45358;76472;67360;65591;77132;31811;99567;7415;38873;36193;21833;49792;34777;63665;1307;17829;80562;7351;74830;69138;9371;88932;73858;14726;3613;64160;95077;4195;52006;11470;22770;88933;63153;4511;4840;40794;34696;60044;52442;97286;70048;17049;83988;88672;64389;80924;46494;86923;17647;29090;66172;2960
evaluation,30,51949;7862;53451;87142;11157;87117;2432;49834;64521;53694;69710;43828;39288;11137;43849;27909;51307;73409;98727;27037;17827;93765;67057;6389;23025;32536;49137;7462;41148;11601;91330;9965;68654;39449;42042;17367;13950;64459;11294;7383;54808;41642;58472;55020;42709;2570;4114;18729;16135;93680;15129;23991;84958;4411;15825;29977;74340;90292;35894;75865;41687;7345;4445;32261
evaluation,31,78350;8626;42704;9803;9713;14201;21629;48850;20961;28365;55784;9861;77278;15686;56557;68643;46266;86002;46550;80228;43366;70191;15602;18390;10979;30259;7299;8005;50838;86700;52065;30225;6999;89496;66176;23061;13453;25425;11091;28219;24621;11107;96180;3401;9651;64638;6677;90331;60690;5489;39288;5401;62818;88643;69513;93341;4377;23832;82592;19402;54250;11251;4105;25867
evaluation,32,45721;75665;66108;20810;62254;30848;23349;61058;19402;63444;77211;85508;19381;10691;13945;39506;28557;27440;52967;11131;42264;25261;41402;28150;65137;93116;77149;90750;61734;98727;35360;63138;61944;4449;2731;70762;38449;12317;49372;6953;61870;2993;85763;19522;65383;30382;37621;8335;55345;18235;82760;11251;25603;10585;98423;74515;21544;9478;69950;11139;82797;71365;94823;99026
evaluation,33,99207;463;10051;74502;28168;13475;88029;96225;1979;37906;74453;37511;90864;34168;11706;86647;37256;49833;75164;46329;99149;97315;95726;12601;97740;22529;55472;38845;43710;82806;27218;8067;47693;86844;11467;34549;41248;64218;53294;5009;99608;29239;87117;89936;42873;33323;92802;68593;8905;66108;41506;2093;97996;30569;32237;54385;37318;80289;32570;2605;9247;10885;32409;41725
evaluation,34,411;84868;69919;34098;3843;85025;29781;81716;52957;17403;57317;63386;13778;84851;11815;75676;76842;8629;7027;97718;63912;83317;86582;19121;28185;62532;22013;75766;96717;1355;23622;82523;37318;51053;50744;29215;14085;26256;93582;43895;97937;3101;22381;41842;31703;49035;4365;63742;7011;65099;6499;65881;32845;86295;59314;54542;72645;21512;7197;61058;61734;10167;60846;76122
evaluation,35,83038;36258;6859;39761;9763;82413;11375;82662;51172;74368;23945;59147;67258;82582;42389;48210;34040;331;40263;98530;66504;32845;73607;7466;71470;62664;27441;4672;94996;195;9475;18387;37491;3441;25761;14147;95852;72946;26424;31811;46395;6546;37222;21918;80997;78449;12176;79029;28438;79732;65250;73554;5779;81394;43366;91392;5649;77385;10553;73624;88596;75414;30381;27592
evaluation,36,43825;12179;92601;4507;47784;73976;53227;6978;33090;50402;65197;57756;11818;80924;31453;87411;2653;73126;68422;71342;95377;7495;20058;29597;29533;86136;4083;13386;84582;44529;55009;76060;33451;73816;86805;15207;35802;49820;99785;3535;9685;22713;8307;50453;9470;3255;66946;44105;2657;16011;3017;26319;1659;10191;7497;21586;40230;80346;21117;15993;22093;90851;53400;79631
evaluation,37,63923;8009;80305;15487;65197;81460;49637;93780;10791;33741;90288;19697;49989;74202;65213;52603;75285;71470;9090;32802;19193;15653;9005;7065;24773;33884;39557;94548;55865;95739;90858;19159;14607;98640;17281;89391;97195;82854;1059;16727;8599;79970;80850;47618;46530;30470;97024;36052;33129;43244;92318;97656;45384;1255;76646;11297;81610;42918;2669;4045;33822;8913;39597;24710
evaluation,38,22462;79805;91392;29989;45904;20827;14906;39289;76979;90316;90374;9963;52743;16089;29127;45063;11338;15421;99928;42102;43710;59645;83830;76437;10341;46378;92830;33868;47054;73618;15465;91268;32714;65037;27916;94503;20243;25903;53217;10843;60486;71247;13413;29459;2530;34809;74242;47853;31461;23755;87921;67360;1465;6179;10029;8045;66269;29295;70334;49946;23682;8995;39941;3561
evaluation,39,21621;60742;35360;27133;79151;37421;5657;725;14699;12167;6329;74207;11769;1857;331;53294;63334;2447;15185;70382;94454;80682;49637;3001;95852;9559;35354;49713;50774;12918;82502;1915;6085;4093;1197;71300;57728;66610;42539;49033;27963;82099;84724;38956;51495;55751;43595;68014;52894;87921;92318;47051;52052;30789;3033;83996;51885;89185;33433;56648;37003;52445;11529;90292
evaluation,40,87474;58801;6581;56130;31798;8818;65006;91585;33588;26113;50042;71298;10222;4183;51369;90331;82362;28518;82675;50385;4227;135;9026;12243;29843;91852;9761;97896;8407;14879;6101;1657;53618;74189;72110;25166;33822;65687;66250;11711;78353;93828;16841;18646;289;3200;80776;51431;11255;33875;99314;18479;25715;2034;9677;66038;97280;16603;4991;9843;4514;7017;20231;47872
evaluation,41,13727;39734;29424;983;85502;7099;44447;11547;56742;43551;64324;36223;75492;78665;32760;37400;19329;84592;35936;90121;85801;8093;6807;82592;49849;15439;46645;63756;79038;84865;9671;22122;37197;92141;9297;31376;48987;63386;51895;677;45673;39299;37624;25488;12179;88029;25953;4803;32250;3891;41090;32570;12547;54531;9371;35232;78789;36890;94996;30089;33483;8165;20531;57573
evaluation,42,32774;74636;18013;36195;27865;9101;71538;11545;95148;50912;84563;6889;71868;22698;2877;10325;63352;87694;61218;9675;28445;56962;2293;2674;77324;40231;98180;44164;42178;71252;20849;4365;25553;81963;11043;27314;10233;13045;25921;46514;92740;96084;5751;43910;4024;13141;51795;21055;31770;301;26498;8154;85616;62427;72778;985;66542;30947;4335;4345;18321;62671;41975;73426
evaluation,43,56905;22722;64829;58165;65235;1731;76908;5415;17941;78557;2695;20281;80773;38579;44243;87243;47896;45371;6335;43427;88422;24465;50267;47598;71830;51911;51816;87164;36052;32638;66947;42023;86465;47966;64253;45846;30125;27707;6023;71738;10847;29522;88445;19258;31746;25641;6405;73386;1882;12203;68924;1119;32789;14923;65008;82797;10755;547;73514;76761;82782;52368;35794;76076
evaluation,44,79256;84924;4489;38681;45813;75000;2409;5586;92974;73761;79031;40245;15501;78906;81793;8395;37017;39597;20510;2269;30750;11543;59904;65704;71247;33837;59805;13842;4958;6490;47699;7466;69013;77959;25261;92137;41038;82021;49394;14053;67956;42042;72059;84910;63830;5031;88852;26934;1278;571;72329;67969;17395;58397;4237;45741;31664;66168;39298;15491;28518;9511;98504;16769
evaluation,45,77109;5683;10711;70293;36258;79576;86180;65749;70906;14735;37451;2455;78086;85534;52421;14663;37029;77754;53965;7423;77786;24190;59925;5101;51482;8857;83183;9970;38270;1570;23945;45384;18390;46541;84082;69087;30411;18086;10393;73816;91752;59690;40125;58086;83803;17261;763;16887;77357;78145;5339;3501;45063;63692;57321;71105;18487;8074;89845;65296;5975;82246;22046;43557
evaluation,46,94548;47259;20810;77505;3229;28013;73220;17496;11807;9783;69278;44659;15038;23457;11887;44769;17403;59241;77482;93630;12027;15666;30402;71485;43555;48137;6357;17603;1443;71814;12379;1423;87470;97315;28937;64713;18794;93877;12781;59877;62726;89890;22710;85756;29356;12873;47260;17417;54531;69642;30577;6247;20467;84165;85698;81981;16263;90097;21021;37983;18646;25859;35493;30477
evaluation,47,55360;40597;72718;88496;4897;66250;97455;7249;49154;59777;17731;82437;4045;2043;13649;16106;25586;16998;28538;26077;94696;60140;25275;41436;42425;64638;84351;58155;97900;86481;88874;11327;57984;70406;63665;2141;37921;35120;38773;69829;64601;9269;84348;66782;95136;83019;78446;63306;22061;2685;18795;55472;77341;62794;4057;98398;3473;2930;85058;62690;13625;69620;65050;11009
evaluation,48,97949;42000;93722;42730;3623;11565;93300;80694;93502;28198;23622;25293;17414;60918;61098;37093;8914;63403;9843;22381;18058;62231;88469;5933;53734;56962;43135;95260;84242;1138;17838;76076;37534;32918;13573;2669;47263;72246;1423;36890;46789;44337;94690;1121;54706;27897;45371;35632;28462;34718;95970;1731;73607;71313;6043;93766;83449;19673;74653;5463;37209;18729;13367;45872
evaluation,49,2919;11353;78353;47784;39941;20693;78442;27707;2487;25917;4739;11091;11619;96523;31637;20334;97442;87932;37450;57210;16025;8513;18673;14866;8401;52088;17388;1789;22698;24238;92813;26197;1749;32439;73218;84509;85251;91309;24733;65198;92451;61990;32637;97398;27897;87187;86743;76007;13173;58452;36019;13386;26163;12601;6679;6546;92356;32241;13945;73170;92601;3363;45231;77940
evaluation,50,15601;6871;6083;95738;49008;82299;9809;7269;66245;8830;26078;15594;58123;80875;4005;5463;92722;85054;28321;58405;40057;35437;41455;32876;91976;4365;333;37110;89036;78353;46470;81963;25715;26017;7439;94440;67205;49333;72106;61539;80128;92783;8315;44975;38474;32053;99736;59102;20349;56648;67525;60224;77786;23046;35802;29533;51629;9551;87529;56962;57889;69734;38270;8621
evaluation,51,61967;99314;28249;10638;51741;4523;6693;97717;83109;57282;65854;39237;9402;6081;11233;5849;9675;29883;96849;16595;97086;20929;33302;32237;8409;99727;17338;40543;44139;36579;42000;94981;72110;96573;10161;76984;43002;5421;29048;65295;48137;84984;66195;10995;75351;99198;75000;31743;37267;29709;81391;77786;49152;5003;98410;56418;87185;4397;40177;6577;7649;18867;72586;78446
evaluation,52,34718;96261;60679;84816;29120;14262;12457;9045;56276;43746;91762;14173;8225;8961;63386;42813;66172;49614;4237;10187;87470;41213;74878;14594;37793;82918;21425;18915;47146;97124;1619;9514;19521;84984;46209;10186;23781;27963;38370;23973;72890;25989;21314;56194;90002;14329;38439;14424;11859;29954;62825;97739;81569;5606;13049;15501;9673;64151;54489;10963;73794;90302;2291;78261
evaluation,53,65603;11769;60679;42902;57176;1829;68840;31176;89332;8838;20965;36352;637;21501;31395;90989;15705;82571;82770;25283;6934;44139;86509;8031;95049;84875;29326;69017;76226;18430;30225;13131;7707;46218;54481;41601;75000;17877;89977;12091;96849;56883;73563;3086;19313;1321;73569;93282;75289;18041;46589;79740;37053;1119;48557;38518;29783;15791;87723;10393;96004;98404;82021;8896
